Jar Name,SHA-1 Checksum,Preferred GAV Coordinates,Artifact Type,POM Included/Available,Location of Artifact
jboss-system-client-5.1.0.GA.jar,99feb68387858b019bbbd97d617bc27241ccd336,<dependency><groupId>jboss</groupId><artifactId>jboss-system-client</artifactId><version>5.1.0.GA</version></dependency>,Jar,N,/Users/asy/work/caArray/svn/trunk/software/ivy-repo.tmp/jboss/jboss-system-client/5.1.0.GA/jboss-system-client-5.1.0.GA.jar
jboss-system-jmx-5.1.0.GA.jar,be8137d1d95975f529b4d8fc71b4bca707de4f21,<dependency><groupId>jboss</groupId><artifactId>jboss-system-jmx</artifactId><version>5.1.0.GA</version></dependency>,Jar,N,/Users/asy/work/caArray/svn/trunk/software/ivy-repo.tmp/jboss/jboss-system-jmx/5.1.0.GA/jboss-system-jmx-5.1.0.GA.jar
jboss-kernel-5.1.0.GA.jar,6ef0a46353f9b11d058df78d070aa7040e36e09a,<dependency><groupId>jboss</groupId><artifactId>jboss-kernel</artifactId><version>5.1.0.GA</version></dependency>,Jar,N,/Users/asy/work/caArray/svn/trunk/software/ivy-repo.tmp/jboss/jboss-kernel/5.1.0.GA/jboss-kernel-5.1.0.GA.jar
jboss-j2se-5.1.0.GA.jar,615358bdfa40ad7079e8f1607e800dde5fdf3fa8,<dependency><groupId>jboss</groupId><artifactId>jboss-j2se</artifactId><version>5.1.0.GA</version></dependency>,Jar,N,/Users/asy/work/caArray/svn/trunk/software/ivy-repo.tmp/jboss/jboss-j2se/5.1.0.GA/jboss-j2se-5.1.0.GA.jar
jboss-common-core-2.2.14.GA.jar,8f8611c5a1679dbc75c409ce6154027a1771d96a,<dependency><groupId>jboss</groupId><artifactId>jboss-common-core</artifactId><version>2.2.14.GA</version></dependency>,Jar,N,/Users/asy/work/caArray/svn/trunk/software/ivy-repo.tmp/jboss/jboss-common-core/2.2.14.GA/jboss-common-core-2.2.14.GA.jar
jboss-logging-spi-2.1.0.GA.jar,41aa1415439e156d6c762b72a808ee80a9b9d222,<dependency><groupId>jboss</groupId><artifactId>jboss-logging-spi</artifactId><version>2.1.0.GA</version></dependency>,Jar,N,/Users/asy/work/caArray/svn/trunk/software/ivy-repo.tmp/jboss/jboss-logging-spi/2.1.0.GA/jboss-logging-spi-2.1.0.GA.jar
jboss-dependency-2.0.6.GA.jar,c5ef58a819a99504729a3093b5a812c46f9664d1,<dependency><groupId>jboss</groupId><artifactId>jboss-dependency</artifactId><version>2.0.6.GA</version></dependency>,Jar,N,/Users/asy/work/caArray/svn/trunk/software/ivy-repo.tmp/jboss/jboss-dependency/2.0.6.GA/jboss-dependency-2.0.6.GA.jar
jboss-ejb3-4.0.5.GA.jar,9f10ae71e24645ea1591479f9009cc90af5ebafe,<dependency><groupId>jboss</groupId><artifactId>jboss-ejb3</artifactId><version>4.0.5.GA</version></dependency>,Jar,N,http://gforge.nci.nih.gov/svnroot/commonlibrary/trunk/ivy-repo/jboss/jboss-ejb3/4.0.5.GA/jboss-ejb3-4.0.5.GA.jar
jgroups-2.6.10.GA.jar,4bf806d9ef02fdf1a6b574e9f29ce09c1d50f325,<dependency><groupId>jgroups</groupId><artifactId>jgroups</artifactId><version>2.6.10.GA</version></dependency>,Jar,N,/Users/asy/work/caArray/svn/trunk/software/ivy-repo.tmp/jgroups/jgroups/2.6.10.GA/jgroups-2.6.10.GA.jar
nci-commons-core-1.2.17.jar,2a7777090cbed3a1dd798432089a8cf0728ea9eb,<dependency><groupId>ncicb</groupId><artifactId>nci-commons-core</artifactId><version>1.2.17</version></dependency>,Jar,N,http://gforge.nci.nih.gov/svnroot/commonlibrary/trunk/ivy-repo/ncicb/nci-commons-core/1.2.17/nci-commons-core-1.2.17.jar
